zip,count
23464,23
23608,24
23669,7
23707,32
24136,1
24141,11
24368,5
24422,8
98002,10
98036,23
98052,7
98101,6
98146,2
98250,1
98405,9
98520,4
98812,1
99352,4
53211,1
24801,7
25309,55
25507,9
25550,4
25705,7
26206,2
26537,5
26719,3
26807,7
82070,6
35124,6
35180,4
35630,9
35801,111
35906,5
36066,32
36265,7
36352,2
36607,10
36695,9
36866,2
36921,5
71730,3
71762,3
72065,1
72113,10
72301,6
72543,20
72703,11
85012,46
85033,12
85040,30
85044,12
85204,32
85260,63
85344,3
85602,7
85623,3
85634,7
85710,108
85718,47
85735,7
85739,8
85746,32
85938,4
86432,3
90040,1
90048,29
90069,4
90211,25
90247,38
90630,21
90638,10
91006,81
91104,5
91205,52
91320,3
91324,12
91331,2
91352,3
91436,3
91607,2
91711,25
91722,3
91750,5
91754,38
91910,59
91914,6
91942,9
92014,1
92085,1
92101,24
92234,33
92262,436
92284,83
92405,13
92591,22
92604,63
92647,34
92675,24
92807,24
92835,15
92863,1
92867,2
93004,2
93015,3
93270,2
93274,52
93402,4
93612,7
93644,2
93720,29
93728,1
93940,24
94040,26
94107,9
94403,2
94526,27
94547,5
94558,13
94565,20
94597,186
94928,1
95020,17
95125,1
95240,1
95642,3
96007,3
96122,2
96150,2
96161,2
80003,2
80014,27
80126,5
80202,4
80230,47
80234,16
80241,2
80401,96
80433,2
80461,1
80517,2
80528,5
80643,1
80863,27
80911,15
80919,10
81019,5
81022,1
81050,8
81082,11
81601,8
6371,1
6762,3
6905,2
20020,29
19718,9
19801,15
19956,4
19967,11
32163,89
32174,280
32195,1
32211,5
32222,1
32250,24
32258,33
32351,16
32533,4
32565,1
32714,32
32725,55
32746,56
32757,13
32792,47
32796,20
32801,2
32809,8
32812,31
33020,31
33028,137
33056,4
33160,17
33175,108
33324,169
33331,76
33408,20
33436,96
33486,57
33534,1
33594,32
33607,122
33610,20
33618,40
33635,5
33711,55
33715,4
33761,88
33765,10
33782,18
33830,27
33838,9
33914,10
